Record ID,Offender Number,Record Date,Fiscal Year Revoked,Revocation Type,Status,Sex,Race & Ethnicity,Age,Offense Code,Offense Class,Offense Description,Offense Type,Offense Subtype
6121,19013834,02/03/2022,2022,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,35,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI
6120,212645,12/20/2024,,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,55,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6119,19963427,06/14/2024,2024,4. Revoked - New Arrest ICON,Parole,Male,White,48,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
6118,18641348,05/16/2016,2016,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,23,713.3,B Felony,BURGLARY 1ST DEGREE,Violent,Other Violent
6117,3236648,12/28/2018,2019,2. Revoked - Serious Misdemeanor New Conviction,Parole,Female,White,52,714.2(3),Aggravated Misdemeanor,THEFT 3RD DEGREE,Property,Theft
6116,233339,09/27/2016,2017,4. Revoked - New Arrest ICON,Parole,Male,White,49,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
6115,18742139,03/17/2020,2020,4. Revoked - New Arrest ICON,Parole,Male,White,33,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6114,20922011,04/08/2020,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,25,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary
6113,19453196,07/10/2024,,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,44,708.2A(4),D Felony,"Domestic Abuse Assault-3rd or Subsequent Offense, 85%",Violent,Assault
6112,18053339,10/09/2023,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Special Sentence,Male,Black,39,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6111,19159652,12/10/2024,,3. Revoked - New Arrest Pending or Found Not Guilty,Parole,Male,Black,21,708.2A(5),D Felony,Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault
6110,19242497,12/30/2024,,2. Revoked - Serious Misdemeanor New Conviction,Special Sentence,Male,Black,22,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6109,221522,09/22/2015,2016,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,47,724.26,D Felony,"REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons
